Buffer Pool Size,Page Created,Read Count,Write Count
100,24683,1622329,1634895
500,24689,1573822,1592604
1000,24672,1511638,1527764
2000,24682,1389585,1399073
5000,24667,1040577,1030777
10000,24694,580647,555173
20000,24682,61621,54117
30000,24681,60,72
40000,24675,0,1
50000,24657,0,1
