Buffer Pool Size,Thread Count,Insert Time without PS,Insert Time with PS,Get Time without PS,Get Time with PS
1000.0,1.0,3973.2848884,4224.8569316,1350.3470686,1389.694233
1000.0,2.0,4058.1938043999994,4125.03756,1350.5707224,1280.7773356000002
1000.0,3.0,4038.9234945999997,4029.9293021999997,1348.3673212,1290.2089513999997
1000.0,4.0,3957.0871758000003,4034.1750834,1339.0195171999999,1248.0420517999999
1000.0,5.0,4056.0653192000004,4049.8691228000002,1362.5414836,1256.2560716
1000.0,6.0,4085.1716781999994,4135.3064144,1356.2375213999999,1251.7442642
1000.0,7.0,4143.5607967999995,4140.097470000001,1344.593332,1254.5406366
1000.0,8.0,4266.712903199999,4184.3594826,1378.3321403999998,1267.8343306000002
2000.0,1.0,2878.169872,2847.3500602,924.513019,898.3057284
2000.0,2.0,2780.1830038,2774.3638650000003,871.5754178,802.2161275999999
2000.0,3.0,2765.2508073999998,2851.8044760000002,853.0767647999999,797.3601144
2000.0,4.0,2780.0674332,2768.2387332000003,859.5339189999999,802.7454474
2000.0,5.0,2840.2325846,2891.4548776,858.7327094,788.6983496
2000.0,6.0,2858.4990067999997,2961.8978079999997,850.4652516,783.454832
2000.0,7.0,2908.4385954,2870.8442188,847.6840212000001,798.3051368
2000.0,8.0,2942.6204478000004,2983.7920891999997,869.1996048000001,809.1948004
5000.0,1.0,196.2683118,216.3335202,186.58706759999998,173.5390218
5000.0,2.0,131.41862300000003,157.74211640000001,122.2623306,109.60795440000001
5000.0,3.0,103.424953,125.77184200000002,97.35470139999998,87.4383412
5000.0,4.0,88.9315144,112.15275160000002,79.1433498,70.4843002
5000.0,5.0,80.64756100000001,96.3929384,70.6781364,61.4330598
5000.0,6.0,92.88950460000001,88.7598806,62.345220399999995,53.3159098
5000.0,7.0,88.6144312,81.9830652,61.659557199999995,52.4593876
5000.0,8.0,83.174226,76.4858986,57.31436239999999,48.775203000000005
10000.0,1.0,198.28132,220.3740874,192.44468379999998,175.4273432
10000.0,2.0,127.8804812,154.681936,120.6977946,113.25153659999998
10000.0,3.0,106.91146180000001,131.0754172,94.2983292,86.2556316
10000.0,4.0,87.42855219999998,110.91293479999999,81.84825520000001,72.97417060000001
10000.0,5.0,80.297275,97.00810279999999,72.31778440000001,63.669954399999995
10000.0,6.0,93.0141714,94.1025938,69.0075814,58.125516600000005
10000.0,7.0,89.4942118,85.0005764,57.8085052,48.5843988
10000.0,8.0,82.8604482,76.14546200000001,59.037561800000006,49.951063
1000.0,1.0,3973.2848884,4224.8569316,1350.3470686,1389.694233
1000.0,2.0,4058.1938043999994,4125.03756,1350.5707224,1280.7773356000002
1000.0,3.0,4038.9234945999997,4029.9293021999997,1348.3673212,1290.2089513999997
1000.0,4.0,3957.0871758000003,4034.1750834,1339.0195171999999,1248.0420517999999
1000.0,5.0,4056.0653192000004,4049.8691228000002,1362.5414836,1256.2560716
1000.0,6.0,4085.1716781999994,4135.3064144,1356.2375213999999,1251.7442642
1000.0,7.0,4143.5607967999995,4140.097470000001,1344.593332,1254.5406366
1000.0,8.0,4266.712903199999,4184.3594826,1378.3321403999998,1267.8343306000002
2000.0,1.0,2878.169872,2847.3500602,924.513019,898.3057284
2000.0,2.0,2780.1830038,2774.3638650000003,871.5754178,802.2161275999999
2000.0,3.0,2765.2508073999998,2851.8044760000002,853.0767647999999,797.3601144
2000.0,4.0,2780.0674332,2768.2387332000003,859.5339189999999,802.7454474
2000.0,5.0,2840.2325846,2891.4548776,858.7327094,788.6983496
2000.0,6.0,2858.4990067999997,2961.8978079999997,850.4652516,783.454832
2000.0,7.0,2908.4385954,2870.8442188,847.6840212000001,798.3051368
2000.0,8.0,2942.6204478000004,2983.7920891999997,869.1996048000001,809.1948004
5000.0,1.0,196.2683118,216.3335202,186.58706759999998,173.5390218
5000.0,2.0,131.41862300000003,157.74211640000001,122.2623306,109.60795440000001
5000.0,3.0,103.424953,125.77184200000002,97.35470139999998,87.4383412
5000.0,4.0,88.9315144,112.15275160000002,79.1433498,70.4843002
5000.0,5.0,80.64756100000001,96.3929384,70.6781364,61.4330598
5000.0,6.0,92.88950460000001,88.7598806,62.345220399999995,53.3159098
5000.0,7.0,88.6144312,81.9830652,61.659557199999995,52.4593876
5000.0,8.0,83.174226,76.4858986,57.31436239999999,48.775203000000005
10000.0,1.0,198.28132,220.3740874,192.44468379999998,175.4273432
10000.0,2.0,127.8804812,154.681936,120.6977946,113.25153659999998
10000.0,3.0,106.91146180000001,131.0754172,94.2983292,86.2556316
10000.0,4.0,87.42855219999998,110.91293479999999,81.84825520000001,72.97417060000001
10000.0,5.0,80.297275,97.00810279999999,72.31778440000001,63.669954399999995
10000.0,6.0,93.0141714,94.1025938,69.0075814,58.125516600000005
10000.0,7.0,89.4942118,85.0005764,57.8085052,48.5843988
10000.0,8.0,82.8604482,76.14546200000001,59.037561800000006,49.951063
5000,1,196.2683118,216.3335202,186.58706759999998,173.5390218
5000,2,131.41862300000003,157.74211640000001,122.2623306,109.60795440000001
5000,3,103.424953,125.77184200000002,97.35470139999998,87.4383412
5000,4,88.9315144,112.15275160000002,79.1433498,70.4843002
5000,5,80.64756100000001,96.3929384,70.6781364,61.4330598
5000,6,92.88950460000001,88.7598806,62.345220399999995,53.3159098
5000,7,88.6144312,81.9830652,61.659557199999995,52.4593876
5000,8,83.174226,76.4858986,57.31436239999999,48.775203000000005
10000,1,198.28132,220.3740874,192.44468379999998,175.4273432
10000,2,127.8804812,154.681936,120.6977946,113.25153659999998
