variant,state,payload_bytes,trial,mops
LIPAH,sat,0,1,160.74
LIPAH,sat,256,1,38.87
LIPAH,sat,1024,1,38.12
LIPAH,sat,4096,1,18.52
LIPAH,sat,16384,1,5.40
PrediCache,sat,0,1,79.40
PrediCache,sat,256,1,54.66
PrediCache,sat,1024,1,30.06
PrediCache,sat,4096,1,14.63
PrediCache,sat,16384,1,4.61
LAPT,sat,0,1,145.43
LAPT,sat,256,1,81.59
LAPT,sat,1024,1,36.23
LAPT,sat,4096,1,15.19
LAPT,sat,16384,1,4.88
